scheme,inject,swifi_zone,baseline_only,calibrate,M,K,N,Pr,Pc,frags_per_rank,num_fragments_total,repeats,threshold_used,baseline_min_ms,baseline_median_ms,baseline_mean_ms,baseline_max_ms,baseline_gflops_min,baseline_gflops_median,baseline_gflops_mean,baseline_gflops_max,protected_min_ms,protected_median_ms,protected_mean_ms,protected_max_ms,protected_gflops_min,protected_gflops_median,protected_gflops_mean,protected_gflops_max,overhead_pct,TP,TN,FP,FN,recall,precision,correction_precision_pct,calib_max_diff,calib_safety_factor,calib_suggested_tau
baseline,none,any,1,0,1792,1792,1792,1,2,8,16,1,13.296078,1.712501,1.718501,1.718537,1.725317,6670.756838,6697.214710,6697.075001,6720.679390,1.712501,1.718501,1.718537,1.725317,6670.756838,6697.214710,6697.075001,6720.679390,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,1792,1792,1792,1,2,8,16,1,1.000000,1.713197,1.718529,1.718751,1.725355,6670.609919,6697.105592,6696.242128,6717.949060,2.654267,2.687249,2.683507,2.717179,4235.705552,4282.881927,4288.854805,4336.101144,56.369139,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,1792,1792,1792,1,2,8,16,1,1.000000,1.711814,1.718123,1.719215,1.729448,6654.822912,6698.688147,6694.431760,6723.376591,3.071732,3.240446,3.216734,3.720100,3093.779784,3551.724107,3577.905526,3746.801536,88.603843,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,2048,2048,2048,1,2,8,16,1,19.703622,2.025006,2.039009,2.037889,2.048969,8384.640853,8425.597525,8430.228135,8483.860879,2.025006,2.039009,2.037889,2.048969,8384.640853,8425.597525,8430.228135,8483.860879,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,2048,2048,2048,1,2,8,16,1,1.000000,2.042706,2.048045,2.049323,2.059871,8340.264601,8388.423684,8383.191468,8410.348422,3.108304,3.135198,3.140692,3.288802,5223.746879,5479.675983,5470.090582,5527.087822,53.082476,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,2048,2048,2048,1,2,8,16,1,1.000000,2.036231,2.045291,2.044995,2.056285,8354.809369,8399.718761,8400.933950,8437.092444,3.617161,3.754700,3.821432,4.291834,4002.920240,4575.563743,4495.662198,4749.545067,83.577789,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,2304,2304,2304,1,2,8,16,1,28.098820,2.911278,2.923787,2.923618,2.933079,8339.762048,8366.266396,8366.750725,8402.214054,2.911278,2.923787,2.923618,2.933079,8339.762048,8366.266396,8366.750725,8402.214054,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,2304,2304,2304,1,2,8,16,1,1.000000,2.982809,3.010999,3.010915,3.042575,8039.631210,8123.941897,8124.169217,8200.719834,4.722762,5.032198,4.988353,5.041441,4852.021660,4860.933717,4903.659162,5179.422746,67.127189,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,2304,2304,2304,1,2,8,16,1,1.000000,2.962842,2.987036,2.988071,3.011128,8123.593859,8189.114871,8186.278347,8255.985614,5.557330,5.582244,5.577619,5.607957,4361.870273,4381.961972,4385.595761,4401.606694,86.882381,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,2560,2560,2560,1,2,8,16,1,38.852172,3.782285,3.792272,3.791443,3.800719,8828.443250,8848.107942,8850.043050,8871.471082,3.782285,3.792272,3.791443,3.800719,8828.443250,8848.107942,8850.043050,8871.471082,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,2560,2560,2560,1,2,8,16,1,1.000000,3.802457,3.812700,3.847324,4.367575,7682.622966,8800.700816,8721.499231,8824.408008,4.950356,5.195192,5.161650,5.759453,5825.975488,6458.747242,6500.718685,6778.185650,36.260183,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,2560,2560,2560,1,2,8,16,1,1.000000,3.795541,3.806213,3.824354,4.382499,7656.460846,8815.700015,8773.882793,8840.487298,5.548013,5.959894,6.133036,7.223087,4645.442039,5630.038387,5471.096578,6048.008900,56.583302,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,2816,2816,2816,1,2,8,16,1,49.091176,6.174452,6.240771,6.245036,6.349273,7034.025627,7156.319146,7151.431849,7233.184255,6.174452,6.240771,6.245036,6.349273,7034.025627,7156.319146,7151.431849,7233.184255,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,2816,2816,2816,1,2,8,16,1,1.000000,6.172429,6.310452,6.323358,6.864746,6505.841439,7077.297948,7062.852874,7235.554916,6.693804,6.859559,6.856538,7.050112,6334.785744,6510.760968,6513.629333,6671.983373,8.701548,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,2816,2816,2816,1,2,8,16,1,1.000000,6.209276,6.309099,6.305425,6.790067,6577.394449,7078.815690,7082.940436,7192.617785,7.088565,7.529235,7.628618,8.778583,5087.489518,5931.671543,5854.395891,6300.421734,19.339307,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,3072,3072,3072,1,2,8,16,1,63.298336,6.837137,6.950323,6.945664,7.057012,8216.233513,8342.354520,8347.950450,8480.458779,6.837137,6.950323,6.945664,7.057012,8216.233513,8342.354520,8347.950450,8480.458779,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,3072,3072,3072,1,2,8,16,1,1.000000,6.825764,6.968595,6.950511,7.305501,7936.766896,8320.480455,8342.129353,8494.588810,9.152620,9.499800,9.533595,10.145296,5715.166763,6103.503073,6081.867271,6335.023031,36.323032,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,3072,3072,3072,1,2,8,16,1,1.000000,6.857190,7.004901,7.005472,7.497860,7733.147658,8277.355882,8276.681214,8455.658731,9.995058,10.395707,10.576354,14.184515,4087.701165,5577.500260,5482.234936,5801.072740,48.406194,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,3328,3328,3328,1,2,8,16,1,81.506514,12.377030,12.419442,12.432748,12.895789,5716.523983,5935.780940,5929.428146,5956.120903,12.377030,12.419442,12.432748,12.895789,5716.523983,5935.780940,5929.428146,5956.120903,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,3328,3328,3328,1,2,8,16,1,1.000000,12.424596,12.517728,12.627946,13.208394,5581.230171,5889.174705,5837.773504,5933.318645,13.269513,13.498667,13.491385,14.220831,5183.880401,5461.212363,5464.160062,5555.523183,7.836398,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,3328,3328,3328,1,2,8,16,1,1.000000,12.406465,12.491356,12.632736,13.185947,5590.731337,5901.608048,5835.559789,5941.989689,13.406359,13.769888,13.810987,14.409279,5116.084372,5353.644641,5337.713124,5498.814936,10.235334,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,3584,3584,3584,1,2,8,16,1,99.665013,13.405957,13.473458,13.552299,14.095920,6531.915718,6833.684523,6793.929136,6868.093148,13.405957,13.473458,13.552299,14.095920,6531.915718,6833.684523,6793.929136,6868.093148,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,3584,3584,3584,1,2,8,16,1,1.000000,13.440158,14.504781,14.369706,15.184851,6063.501144,6347.793973,6407.463310,6850.615998,14.505150,15.091677,15.092980,15.737518,5850.564327,6100.936391,6100.409789,6347.632490,4.046224,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,3584,3584,3584,1,2,8,16,1,1.000000,13.488359,14.703094,14.526821,15.167302,6070.516787,6262.175934,6338.163075,6826.135144,14.742777,15.425381,15.495810,16.217315,5677.472591,5968.952171,5941.823074,6245.320092,4.912483,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,3840,3840,3840,1,2,8,16,1,122.673729,15.080525,16.180286,16.058463,16.478390,6872.407316,6999.023874,7052.120038,7509.434055,15.080525,16.180286,16.058463,16.478390,6872.407316,6999.023874,7052.120038,7509.434055,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,3840,3840,3840,1,2,8,16,1,1.000000,15.400911,16.146438,16.176205,16.612378,6816.977557,7013.696024,7000.789573,7353.214884,16.127801,16.836190,16.843770,17.177306,6592.780498,6726.356022,6723.328981,7021.800926,4.271852,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,3840,3840,3840,1,2,8,16,1,1.000000,15.875771,16.364119,16.374540,16.662365,6796.526664,6920.397487,6915.993412,7133.272960,16.954890,17.316641,17.398107,18.084113,6262.193119,6539.732966,6509.111073,6679.265274,5.820796,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,4096,4096,4096,1,2,8,16,1,149.498528,16.953701,17.472632,17.462178,17.801644,7720.576452,7865.955940,7870.665015,8106.722743,16.953701,17.472632,17.462178,17.801644,7720.576452,7865.955940,7870.665015,8106.722743,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,4096,4096,4096,1,2,8,16,1,1.000000,17.190717,17.420877,17.423260,18.471418,7440.628190,7889.324600,7888.245613,7994.951780,17.962071,18.369623,18.362571,19.122860,7187.154718,7481.860323,7484.733652,7651.620655,5.446029,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,4096,4096,4096,1,2,8,16,1,1.000000,17.231073,17.476223,17.466901,17.761162,7738.173520,7864.339650,7868.536810,7976.227219,18.182183,18.472912,18.606500,19.409999,7080.832589,7440.026427,7386.609526,7558.990770,5.703114,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,4352,4352,4352,1,2,8,16,1,180.008292,25.939708,26.521461,26.457538,27.150283,6071.867627,6215.831187,6230.849009,6355.234393,25.939708,26.521461,26.457538,27.150283,6071.867627,6215.831187,6230.849009,6355.234393,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,4352,4352,4352,1,2,8,16,1,1.000000,26.092598,27.272951,27.139403,28.028469,5881.624302,6044.557643,6074.301820,6317.995794,27.530817,28.208248,28.076550,28.491682,5786.001838,5844.139076,5871.552008,5987.941601,3.429394,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,4352,4352,4352,1,2,8,16,1,1.000000,25.658764,27.262159,27.083892,27.889023,5911.032610,6046.950442,6086.751586,6424.819388,27.961823,28.802481,28.758569,29.681003,5554.156119,5723.566814,5732.306306,5895.642942,5.650037,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,4608,4608,4608,1,2,8,16,1,210.814302,27.605905,28.811535,28.742283,29.944341,6535.106163,6792.052122,6808.416867,7088.680752,27.605905,28.811535,28.742283,29.944341,6535.106163,6792.052122,6808.416867,7088.680752,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,4608,4608,4608,1,2,8,16,1,1.000000,28.552867,29.539463,29.410754,30.289221,6460.695949,6624.678567,6653.669803,6853.583124,29.765403,30.530401,30.483052,30.977017,6317.246345,6409.658603,6419.614636,6574.392674,3.354624,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,4608,4608,4608,1,2,8,16,1,1.000000,28.581714,29.553883,29.450839,29.824602,6561.343130,6621.446239,6644.613591,6846.665929,29.982775,30.805493,30.938600,32.078767,6100.279584,6352.420571,6325.090601,6526.729011,4.235010,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,4864,4864,4864,1,2,8,16,1,248.049591,31.700267,31.923797,31.881618,32.349228,7114.539150,7209.350726,7218.888679,7260.186455,31.700267,31.923797,31.881618,32.349228,7114.539150,7209.350726,7218.888679,7260.186455,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,4864,4864,4864,1,2,8,16,1,1.000000,31.370008,31.836853,31.790062,32.420052,7098.996914,7229.038909,7239.679060,7336.620669,32.682727,32.936438,32.937949,33.217993,6928.469432,6987.697003,6987.376490,7041.941423,3.453812,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,4864,4864,4864,1,2,8,16,1,1.000000,31.447186,31.802356,31.772576,32.137416,7161.429814,7236.880472,7243.663478,7318.615061,32.806145,33.375875,33.548614,34.541367,6663.020867,6895.694842,6860.189467,7015.449364,4.947806,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,5120,5120,5120,1,2,8,16,1,287.499978,33.685847,34.590324,34.287700,35.165507,7633.487440,7760.420400,7828.914008,7968.790454,33.685847,34.590324,34.287700,35.165507,7633.487440,7760.420400,7828.914008,7968.790454,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,5120,5120,5120,1,2,8,16,1,1.000000,33.631781,34.704501,34.598776,34.943425,7682.001864,7734.888797,7758.524592,7981.600974,34.857941,35.958145,35.861699,36.809335,7292.591838,7465.219799,7485.296709,7700.840850,3.612338,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,5120,5120,5120,1,2,8,16,1,1.000000,33.677129,34.657830,34.532119,34.893209,7693.057294,7745.304770,7773.500748,7970.853335,35.513931,36.567125,36.653403,37.798223,7101.800950,7340.895846,7323.616270,7558.595977,5.508986,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,5376,5376,5376,1,2,8,16,1,331.058089,35.749071,37.086112,36.784183,37.375031,8314.310020,8379.082573,8447.859068,8692.466295,35.749071,37.086112,36.784183,37.375031,8314.310020,8379.082573,8447.859068,8692.466295,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,5376,5376,5376,1,2,8,16,1,1.000000,35.491241,36.987272,36.896779,38.572956,8056.100102,8401.473749,8422.079240,8755.613667,36.890765,38.366250,38.347153,42.932632,7238.028052,8099.503985,8103.537467,8423.452177,3.728250,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,5376,5376,5376,1,2,8,16,1,1.000000,35.937513,37.109193,37.098421,37.860098,8207.786328,8373.870991,8376.302451,8646.886465,37.909372,39.721183,39.627285,40.839920,7608.917813,7823.221044,7841.758374,8197.117978,7.038660,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,5632,5632,5632,1,2,8,16,1,377.796489,38.208920,40.292940,39.973073,41.074820,8698.457886,8867.250489,8938.206664,9350.894816,38.208920,40.292940,39.973073,41.074820,8698.457886,8867.250489,8938.206664,9350.894816,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,5632,5632,5632,1,2,8,16,1,1.000000,38.510936,40.809999,40.494444,41.085388,8696.220465,8754.903227,8823.126209,9277.561884,40.139207,42.106718,41.990274,42.733928,8360.747740,8485.287121,8508.817775,8901.212023,3.177454,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,5632,5632,5632,1,2,8,16,1,1.000000,38.724421,40.373968,40.202956,40.691842,8780.324861,8849.454479,8887.097444,9226.415340,41.512299,43.269391,43.273581,45.835231,7795.042899,8257.282658,8256.483121,8606.788844,7.171510,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,5888,5888,5888,1,2,8,16,1,431.073588,40.878297,43.656742,43.116781,44.461407,9182.272935,9351.517210,9468.628430,9987.127745,40.878297,43.656742,43.116781,44.461407,9182.272935,9351.517210,9468.628430,9987.127745,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,5888,5888,5888,1,2,8,16,1,1.000000,40.896856,43.746442,43.582501,44.874249,9097.796247,9332.342368,9367.447157,9982.595585,43.596283,45.585883,45.491865,46.679907,8745.878053,8955.771991,8974.280858,9364.485824,4.204779,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,5888,5888,5888,1,2,8,16,1,1.000000,41.166234,43.395960,43.235429,43.995779,9279.453244,9407.713855,9442.644186,9917.272834,46.374463,47.843570,48.688444,54.167044,7536.995634,8533.158670,8385.085646,8803.482515,10.248903,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,6144,6144,6144,1,2,8,16,1,491.574169,43.143204,46.561099,46.317515,48.169953,9629.581079,9962.317856,10014.709661,10751.553546,43.143204,46.561099,46.317515,48.169953,9629.581079,9962.317856,10014.709661,10751.553546,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,6144,6144,6144,1,2,8,16,1,1.000000,43.505287,46.734188,46.628953,48.053541,9652.909199,9925.420507,9947.820777,10662.071209,48.809927,50.958767,50.824556,51.844570,8947.059798,9102.584212,9126.621137,9503.322305,9.039590,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,6144,6144,6144,1,2,8,16,1,1.000000,43.100035,46.542403,46.350121,47.254549,9816.123057,9966.319701,10007.664564,10762.322304,49.426582,52.521403,52.648468,57.037794,8132.440535,8831.760796,8810.445740,9384.757133,12.846350,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,6400,6400,6400,1,2,8,16,1,555.789457,68.374938,70.210183,70.202514,72.751361,7206.573084,7467.406829,7468.222529,7667.838763,68.374938,70.210183,70.202514,72.751361,7206.573084,7467.406829,7468.222529,7667.838763,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,6400,6400,6400,1,2,8,16,1,1.000000,70.078929,71.487678,72.765886,79.504504,6594.444008,7333.963204,7205.134515,7481.392873,72.400300,73.460915,75.008609,81.795371,6409.751476,7136.965283,6989.704337,7241.516955,2.760248,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,6400,6400,6400,1,2,8,16,1,1.000000,68.921936,76.102225,75.526091,81.061855,6467.752311,6889.259808,6941.813023,7606.983066,73.625135,80.651124,80.029984,92.690244,5656.345019,6500.690555,6551.144631,7121.046365,5.977353,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,6656,6656,6656,1,2,8,16,1,620.511772,73.093997,75.997355,75.721581,77.759154,7584.350736,7760.173980,7788.436129,8068.414932,73.093997,75.997355,75.721581,77.759154,7584.350736,7760.173980,7788.436129,8068.414932,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,6656,6656,6656,1,2,8,16,1,1.000000,74.865583,75.823837,77.146546,82.909933,7113.173000,7777.932642,7644.576774,7877.487534,77.409260,77.953178,79.491325,86.246387,6837.998870,7565.473429,7419.082455,7618.632407,2.808274,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,6656,6656,6656,1,2,8,16,1,1.000000,73.259914,79.603307,79.495486,84.242621,7000.645158,7408.645684,7418.694163,8050.141812,77.486216,85.006571,83.750538,89.514958,6588.314512,6937.730694,7041.778027,7611.065907,6.787738,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,6912,6912,6912,1,2,8,16,1,694.600149,77.855811,79.405658,79.147226,80.685400,8185.519128,8317.441121,8344.599322,8483.013362,77.855811,79.405658,79.147226,80.685400,8185.519128,8317.441121,8344.599322,8483.013362,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,6912,6912,6912,1,2,8,16,1,1.000000,77.446867,80.716245,82.036613,89.187093,7405.240633,8182.391104,8050.696679,8527.806361,81.121477,83.277991,85.079776,92.150641,7167.089430,7930.689455,7762.736493,8141.517012,3.173768,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,6912,6912,6912,1,2,8,16,1,1.000000,76.252639,81.750292,82.782646,88.432099,7468.463290,8078.893285,7978.144142,8661.364298,83.398260,88.276822,88.574055,103.864698,6358.771534,7481.600154,7456.493684,7919.252573,7.983494,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,7168,7168,7168,1,2,8,16,1,773.449280,80.213979,84.343163,83.927620,85.051102,8660.521427,8733.213992,8776.453946,9182.774629,80.213979,84.343163,83.927620,85.051102,8660.521427,8733.213992,8776.453946,9182.774629,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,7168,7168,7168,1,2,8,16,1,1.000000,85.071833,86.561988,87.835222,95.246995,7733.439688,8509.357378,8386.008226,8658.410960,87.725291,89.128772,90.815942,97.740807,7536.124510,8264.299785,8110.766417,8396.516932,2.965255,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
