scheme,inject,swifi_zone,baseline_only,calibrate,M,K,N,Pr,Pc,frags_per_rank,num_fragments_total,repeats,threshold_used,baseline_min_ms,baseline_median_ms,baseline_mean_ms,baseline_max_ms,baseline_gflops_min,baseline_gflops_median,baseline_gflops_mean,baseline_gflops_max,protected_min_ms,protected_median_ms,protected_mean_ms,protected_max_ms,protected_gflops_min,protected_gflops_median,protected_gflops_mean,protected_gflops_max,overhead_pct,TP,TN,FP,FN,recall,precision,correction_precision_pct,calib_max_diff,calib_safety_factor,calib_suggested_tau
online,none,any,0,0,8704,8704,8704,1,2,8,16,1,1.000000,159.527637,173.984028,169.640126,176.876206,7456.194505,7580.140605,7774.242029,8267.052782,163.318133,178.104790,173.715259,181.671402,7259.389099,7404.760957,7591.868477,8075.180454,2.368471,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,8704,8704,8704,1,2,8,16,1,1.000000,158.603766,174.275871,170.983322,177.698777,7421.679640,7567.446875,7713.169808,8315.208577,166.489683,182.739128,179.720151,185.376889,7114.281626,7216.973233,7338.205483,7921.352072,4.856241,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,8960,8960,8960,1,2,8,16,1,1501.150956,167.180487,170.161742,174.479855,185.381525,7760.461955,8454.581242,8245.343103,8605.348015,167.180487,170.161742,174.479855,185.381525,7760.461955,8454.581242,8245.343103,8605.348015,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,8960,8960,8960,1,2,8,16,1,1.000000,169.823936,185.110323,179.439111,186.543175,7712.135660,7771.831677,8017.462097,8471.398708,174.138083,189.400116,184.427907,192.421376,7476.540818,7595.804598,7800.588836,8261.525838,2.317425,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,8960,8960,8960,1,2,8,16,1,1.000000,168.074730,184.535611,180.403450,185.880753,7739.619346,7796.036029,7974.605095,8559.563190,178.024542,192.577373,191.027398,210.524354,6833.633471,7470.484458,7531.099144,8081.168225,4.357837,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,9216,9216,9216,1,2,8,16,1,1621.183828,174.772570,177.304701,180.639987,190.998553,8196.478742,8829.520992,8666.495198,8957.444406,174.772570,177.304701,180.639987,190.998553,8196.478742,8829.520992,8666.495198,8957.444406,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,9216,9216,9216,1,2,8,16,1,1.000000,176.322676,190.440293,185.505715,195.164738,8021.508370,8220.506043,8439.177068,8878.696801,180.958222,196.119703,191.480326,199.712460,7838.847808,7982.449267,8175.856020,8651.254207,2.982252,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,9216,9216,9216,1,2,8,16,1,1.000000,175.934470,190.285906,185.896340,193.949758,8071.758354,8227.175687,8421.443795,8898.287978,184.834686,200.242139,197.590007,223.078425,7017.781210,7818.112547,7923.050383,8469.814910,5.232249,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,9472,9472,9472,1,2,8,16,1,1760.027840,185.421402,186.899037,187.025943,191.313056,8884.038965,9093.854476,9087.683846,9166.323983,185.421402,186.899037,187.025943,191.313056,8884.038965,9093.854476,9087.683846,9166.323983,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,9472,9472,9472,1,2,8,16,1,1.000000,188.903313,192.350931,195.992102,205.455209,8272.521550,8836.103029,8671.944560,8997.368109,193.217940,199.362087,201.591684,211.905961,8020.692934,8525.355396,8431.065273,8796.453601,3.644982,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
